DATASET_SIMPLEBAR
SEPARATOR COMMA
DATASET_LABEL,FPKM
COLOR,#ff0000
DATA
159,2.68005
127,2.68005
5,6.28219
171,2.68005
196,43.0698
197,90.73667
186,2.68005
207,20.01598
141,43.0698
189,43.0698
140,2.68005
198,43.0698
183,2.68005
123,2.68005
205,20.01598
191,89.23179999999999
157,43.0698
8,1.15527
195,43.0698
209,20.01598
204,20.01598
128,2.68005
192,171.81498
190,43.0698
1,2.68005
174,2.68005
139,2.68005
206,20.01598
208,20.01598
187,2.68005
177,2.68005
212,6.56187
